LaptopId,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
25,81,apple,"macbook 12""",ultrabook,12.0,ips panel retina display 2304x1440,intel core i5 1.3ghz,8gb,512gb ssd,intel hd graphics 615,macos,0.92kg,1510.0
26,791,vero,k146 ,notebook,14.0,1920x1080,intel celeron dual core n3350 1.1ghz,4gb,32gb flash storage,intel hd graphics 500,windows 10,1.22kg,202.9
27,10,hp,250 g6,notebook,15.6,1366x768,intel core i5 7200u 2.5ghz,4gb,500gb hdd,intel hd graphics 620,no os,1.86kg,393.9
28,1170,hp,250 g5,notebook,15.6,full hd 1920x1080,intel core i7 6500u 2.5ghz,8gb,256gb ssd,intel hd graphics 520,windows 10,1.96kg,679.0
29,244,lenovo,yoga 910-13ikb,2 in 1 convertible,13.9,ips panel full hd / touchscreen 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows 10,1.38kg,1079.0
30,1091,hp,250 g6,notebook,15.6,1366x768,intel core i3 6006u 2.0ghz,4gb,1tb hdd,intel hd graphics 520,no os,1.86kg,345.99
31,48,dell,inspiron 3567,notebook,15.6,full hd 1920x1080,intel core i5 7200u 2.5ghz,4gb,256gb ssd,amd radeon r5 m430,windows 10,2.3kg,639.0
32,76,lenovo,ideapad 320-15ikbn,notebook,15.6,full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,2tb hdd,intel hd graphics 620,no os,2.2kg,519.0
33,488,lenovo,thinkpad x270,ultrabook,12.5,ips panel full hd 1920x1080,intel core i7 7500u 2.7ghz,16gb,512gb ssd,intel hd graphics 620,windows 10,1.36kg,1798.0
34,1203,dell,xps 13,ultrabook,13.3,quad hd+ / touchscreen 3200x1800,intel core i7 7500u 2.7ghz,16gb,512gb ssd,intel hd graphics 620,windows 10,1.2kg,2680.0
35,589,asus,rog strix,gaming,17.3,ips panel full hd 1920x1080,intel core i5 7300hq 2.5ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce 1060,windows 10,2.73kg,1770.0
36,211,asus,rog gl703vd-gc028t,gaming,17.3,full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce 1050,windows 10,2.9kg,1407.0
37,737,dell,inspiron 5379,2 in 1 convertible,13.3,full hd / touchscreen 1920x1080,intel core i5 8250u 1.6ghz,8gb,1tb hdd,intel uhd graphics 620,windows 10,1.55kg,659.0
38,131,dell,inspiron 3567,notebook,15.6,full hd 1920x1080,intel core i3 6006u 2.0ghz,4gb,1tb hdd,amd radeon r5 m430,windows 10,2.2kg,449.0
39,555,asus,a541na-go342 ,notebook,15.6,1366x768,intel celeron dual core n3350 1.1ghz,4gb,500gb hdd,intel hd graphics 500,linux,2kg,224.0
40,248,hp,probook 430,notebook,13.3,ips panel full hd 1920x1080,intel core i5 8250u 1.6ghz,4gb,500gb hdd,intel uhd graphics 620,windows 10,1.49kg,675.0
41,626,mediacom,smartbook 140,notebook,14.0,full hd 1920x1080,intel atom x5-z8350 1.44ghz,2gb,32gb flash storage,intel hd graphics,windows 10,1.4kg,239.0
42,67,hp,stream 14-ax040wm,notebook,14.0,1366x768,intel celeron dual core n3060 1.6ghz,4gb,32gb ssd,intel hd graphics 400,windows 10,1.44kg,229.0
43,294,lenovo,v330-15ikb ,notebook,15.6,full hd 1920x1080,intel core i5 8250u 1.6ghz,8gb,256gb ssd,intel uhd graphics 620,windows 10,2.05kg,739.0
44,1089,acer,aspire es1-523,notebook,15.6,1366x768,amd a8 7410 2.2ghz,4gb,500gb hdd,amd radeon r5,windows 10,2.4kg,387.0
45,715,lenovo,thinkpad e470,notebook,14.0,ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,nvidia geforce 920mx,windows 10,1.87kg,857.07
46,707,lenovo,thinkpad p51s,workstation,15.6,full hd 1920x1080,intel core i7 6500u 2.5ghz,16gb,512gb ssd,nvidia quadro m520m,windows 7,2.18kg,1855.0
47,749,hp,zbook 17,workstation,17.3,ips panel full hd 1920x1080,intel xeon e3-1535m v5 2.9ghz,16gb,256gb ssd,nvidia quadro m2000m,windows 7,3kg,4389.0
48,1191,samsung,chromebook plus,2 in 1 convertible,12.3,ips panel touchscreen 2400x1600,samsung cortex a72&a53 2.0ghz,4gb,32gb flash storage,arm mali t860 mp4,chrome os,1.15kg,659.0
49,775,asus,q524uq-bhi7t15 ,2 in 1 convertible,15.6,full hd / touchscreen 1920x1080,intel core i7 7500u 2.7ghz,12gb,2tb hdd,nvidia geforce 940mx,windows 10,2.3kg,839.0
50,31,asus,e402wa-ga010t ,notebook,14.0,1366x768,amd e2 6110 1.5ghz,2gb,32gb flash storage,amd radeon r2,windows 10,1.65kg,199.0
51,635,asus,vivobook pro,notebook,15.6,full hd 1920x1080,intel core i5 7300hq 2.5ghz,8gb,1tb hdd,nvidia geforce 1050,windows 10,1.99kg,906.62
52,617,hp,elitebook 850,ultrabook,15.6,full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,512gb ssd,intel hd graphics 620,windows 10,1.84kg,1389.0
53,247,asus,rog g701vik-ba060t,gaming,17.3,full hd 1920x1080,intel core i7 7820hk 2.9ghz,16gb,256gb ssd,nvidia geforce 1080,windows 10,3.6kg,2999.0
54,830,razer,blade pro,gaming,17.3,4k ultra hd / touchscreen 3840x2160,intel core i7 7820hk 2.9ghz,32gb,512gb ssd,nvidia geforce 1080,windows 10,3.49kg,5499.0
55,987,lenovo,legion y520-15ikbn,gaming,15.6,ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce 1060,windows 10,2.5kg,1189.0
56,32,hp,17-ak001nv ,notebook,17.3,full hd 1920x1080,amd a6 9220 2.5ghz,4gb,500gb hdd,amd radeon 530,windows 10,2.71kg,439.0
57,1084,dell,vostro 3568,notebook,15.6,full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows 10,2.18kg,750.0
58,195,hp,probook 470,notebook,17.3,ips panel full hd 1920x1080,intel core i5 8250u 1.6ghz,8gb,1tb hdd,nvidia geforce 930mx,windows 10,2.5kg,914.0
59,601,hp,probook 450,notebook,15.6,1366x768,intel core i3 7100u 2.4ghz,4gb,500gb hdd,intel hd graphics 620,windows 10,2.1kg,668.48
60,790,asus,fx502vm-dm560t ,gaming,15.6,full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce 1060,windows 10,2.24kg,1339.0
61,56,hp,15-bs002nv ,notebook,15.6,full hd 1920x1080,intel core i3 6006u 2.0ghz,4gb,128gb ssd,intel hd graphics 520,windows 10,1.91kg,439.0
62,94,asus,zenbook ux430ua,ultrabook,14.0,full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows 10,1.25kg,1049.0
63,1216,acer,e5 774g,notebook,17.3,1600x900,intel core i3 6006u 2.0ghz,4gb,1tb hdd,nvidia geforce 940mx,windows 10,3.3kg,598.0
64,787,lenovo,legion y520-15ikbn,gaming,15.6,ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,4gb,1tb hdd,nvidia geforce 1050,windows 10,2.4kg,999.0
65,868,acer,tmx349-g2-m-50fs ,notebook,14.0,ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows 10,1.56kg,902.0
66,285,acer,sp315-51 ,notebook,15.6,ips panel full hd / touchscreen 1920x1080,intel core i7 7500u 2.7ghz,12gb,1tb hdd,intel hd graphics 620,windows 10,2.15kg,659.0
67,464,lenovo,thinkpad p51,notebook,15.6,full hd 1920x1080,intel core i7 7820hq 2.9ghz,8gb,256gb ssd,nvidia quadro m2200m,windows 10,2.67kg,2090.0
68,729,hp,15-bw037na ,notebook,15.6,full hd 1920x1080,amd a9 9420 3ghz,4gb,1tb hdd,amd radeon 520,windows 10,2.1kg,489.0
69,805,hp,elitebook 820,netbook,12.5,1366x768,intel core i5 7300u 2.6ghz,8gb,256gb ssd,intel hd graphics 620,windows 10,1.26kg,1389.0
70,1015,toshiba,portege a30-c-1cz,notebook,13.3,1366x768,intel core i5 6200u 2.3ghz,8gb,256gb ssd,intel hd graphics 520,windows 10,1.5kg,1210.0
71,142,lenovo,legion y520-15ikbn,gaming,15.6,ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,256gb ssd,nvidia geforce 1050m,no os,2.4kg,869.0
72,674,hp,pavilion x360,2 in 1 convertible,14.0,ips panel full hd / touchscreen 1920x1080,intel core i3 7100u 2.4ghz,4gb,128gb ssd,nvidia geforce 940mx,windows 10,1.63kg,699.0
73,750,lenovo,n23 ,netbook,11.6,touchscreen 1366x768,intel celeron dual core n3060 1.6ghz,4gb,128gb ssd,intel hd graphics 400,windows 10,1.4kg,475.0
74,452,hp,probook 650,workstation,15.6,ips panel full hd 1920x1080,intel core i7 7820hq 2.9ghz,8gb,512gb ssd,intel hd graphics 620,windows 10,2.31kg,1534.0
75,304,asus,gl553ve-fy082t ,gaming,15.6,full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce 1050 ti,windows 10,2.5kg,1265.0
76,1119,asus,rog gl752vw-t4308t,gaming,17.3,full hd 1920x1080,intel core i7 6700hq 2.6ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce 960m,windows 10,3.52kg,1312.49
77,424,dell,alienware 17,gaming,17.3,ips panel 2560x1440,intel core i7 7820hk 2.9ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce 1070,windows 10,4.42kg,2799.0
78,151,dell,inspiron 7567,gaming,15.6,full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,1.0tb hybrid,nvidia geforce 1050,windows 10,2.62kg,899.0
79,179,hp,spectre x360,2 in 1 convertible,13.3,ips panel 4k ultra hd / touchscreen 3840x2160,intel core i5 8250u 1.6ghz,8gb,256gb ssd,intel uhd graphics 620,windows 10,1.29kg,1499.0
80,139,hp,envy 13-ad007nv,notebook,13.3,ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,4gb,256gb ssd,intel hd graphics 620,windows 10,1.32kg,699.0
81,831,lenovo,thinkpad x1,ultrabook,14.0,ips panel quad hd+ 2560x1440,intel core i7 6600u 2.6ghz,16gb,512gb ssd,intel hd graphics 520,windows 10,1.1kg,2099.0
82,1058,dell,inspiron 7378,2 in 1 convertible,13.3,ips panel full hd / touchscreen 1920x1080,intel core i7 7500u 2.7ghz,12gb,256gb ssd,intel hd graphics 620,windows 10,1.6kg,1299.0
83,422,hp,probook 650,notebook,15.6,full hd 1920x1080,intel core i7 7820hq 2.9ghz,8gb,256gb ssd,intel hd graphics 630,windows 10,2.31kg,1427.0
84,72,dell,inspiron 5570,notebook,15.6,full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,256gb ssd,amd radeon 530,windows 10,2.2kg,870.0
85,1272,lenovo,ideapad 100s-14ibr,notebook,14.0,1366x768,intel celeron dual core n3050 1.6ghz,2gb,64gb flash storage,intel hd graphics,windows 10,1.5kg,229.0
86,753,lenovo,thinkpad t460,ultrabook,14.0,full hd 1920x1080,intel core i5 6200u 2.3ghz,4gb,180gb ssd,intel hd graphics 520,windows 10,1.7kg,1096.0
87,1240,lenovo,ideapad 320-15abr,notebook,15.6,full hd 1920x1080,amd a12 9720p 2.7ghz,6gb,256gb ssd,amd radeon 530,windows 10,2.2kg,597.57
88,780,dell,alienware 17,gaming,17.3,ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,32gb,1tb ssd +  1tb hdd,nvidia geforce 1070m,windows 10,4.42kg,3588.8
89,882,asus,vivobook l402na,notebook,14.1,1366x768,intel celeron dual core n3350 1.1ghz,4gb,32gb flash storage,intel hd graphics 500,windows 10,1.65kg,348.0
90,281,dell,inspiron 3567,notebook,15.6,full hd 1920x1080,intel core i3 6006u 2.0ghz,4gb,1tb hdd,amd radeon r5 m430,linux,2.25kg,428.0
91,872,toshiba,tecra a50-d-11d,notebook,15.6,ips panel full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows 10,2.0kg,1388.0
92,1143,hp,zbook 15,workstation,15.6,ips panel full hd 1920x1080,intel core i7 6700hq 2.6ghz,8gb,256gb ssd,nvidia quadro m1000m,windows 7,2.59kg,2229.0
93,233,dell,vostro 5468,notebook,14.0,full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows 10,1.6kg,859.0
94,436,hp,15-ra044nv ,notebook,15.6,1366x768,intel celeron dual core n3060 1.6ghz,4gb,500gb hdd,intel hd graphics 400,windows 10,2.1kg,347.0
95,287,asus,vivobook s15,ultrabook,15.6,full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,nvidia geforce 940mx,windows 10,1.7kg,977.0
96,481,dell,vostro 3568,notebook,15.6,1366x768,intel core i3 7100u 2.4ghz,4gb,1tb hdd,intel hd graphics 620,windows 10,2.18kg,586.6
97,784,lenovo,thinkpad t470s,ultrabook,14.0,full hd 1920x1080,intel core i7 7500u 2.7ghz,16gb,512gb ssd,intel hd graphics 620,windows 10,1.7kg,2299.0
98,1147,dell,vostro 5568,notebook,15.6,full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,nvidia geforce 940mx,windows 10,2.18kg,1009.9
99,939,dell,alienware 17,gaming,17.3,2560x1440,intel core i7 6820hk 2.7ghz,16gb,512gb ssd +  1tb hdd,nvidia geforce 1080,windows 10,4.36kg,2758.0
100,394,dell,inspiron 5567,notebook,15.6,full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,amd radeon r7 m445,linux,2.33kg,778.87
101,260,dell,inspiron 5770,notebook,17.3,full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,128gb ssd +  1tb hdd,amd radeon 530,windows 10,2.8kg,1142.0
102,575,mediacom,smartbook 141,notebook,14.0,full hd 1920x1080,intel atom x5-z8350 1.44ghz,4gb,32gb ssd,intel hd graphics,windows 10,1.4kg,249.0
103,772,toshiba,tecra a40-c-1e5,notebook,14.0,ips panel 1366x768,intel core i5 6200u 2.3ghz,4gb,128gb ssd,intel hd graphics 520,windows 10,1.75kg,1020.0
104,148,msi,ge72mvr 7rg,gaming,17.3,full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce 1070,windows 10,2.9kg,2029.0
105,472,google,pixelbook ,ultrabook,12.3,touchscreen 2400x1600,intel core i5 7y57 1.2ghz,8gb,128gb ssd,intel hd graphics 615,chrome os,1.1kg,1275.0
106,1004,toshiba,portege z30-c-16h,notebook,13.3,full hd 1920x1080,intel core i5 6200u 2.3ghz,4gb,128gb ssd,intel hd graphics 520,windows 10,1.2kg,1195.0
107,286,lenovo,thinkpad t570,notebook,15.6,ips panel full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 630,windows 10,1.95kg,1097.0
108,706,acer,spin 5,2 in 1 convertible,13.3,ips panel full hd / touchscreen 1920x1080,intel core i5 8250u 1.6ghz,8gb,256gb ssd,intel uhd graphics 620,windows 10,1.6kg,999.0
109,134,hp,15-bs078nr ,notebook,15.6,1366x768,intel core i7 7500u 2.7ghz,8gb,1tb hdd,intel hd graphics 620,windows 10,2.05kg,598.0
110,150,dell,inspiron 5577,gaming,15.6,full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,512gb ssd,nvidia geforce 1050,windows 10,2.56kg,1249.26
111,1228,lenovo,ideapad y700-15isk,gaming,15.6,ips panel full hd / touchscreen 1920x1080,intel core i7 6700hq 2.6ghz,16gb,128gb ssd +  1tb hdd,nvidia geforce 960m,windows 10,2.6kg,1029.0
112,979,asus,rog gl753ve-ds74,gaming,17.3,full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce 1050 ti,windows 10,2.99kg,1749.0
113,54,acer,aspire 3,notebook,15.6,1366x768,intel core i3 7100u 2.4ghz,4gb,1tb hdd,intel hd graphics 620,windows 10,2.4kg,384.0
114,1075,lenovo,ideapad 300-17isk,notebook,17.3,1600x900,intel core i5 6200u 2.3ghz,8gb,1.0tb hdd,amd radeon r5 m330,windows 10,3.0kg,659.0
115,434,lenovo,thinkpad p51,notebook,15.6,full hd 1920x1080,intel core i7 7820hq 2.9ghz,16gb,512gb ssd,nvidia quadro m2200m,windows 10,2.5kg,2449.0
116,13,dell,inspiron 3567,notebook,15.6,full hd 1920x1080,intel core i3 6006u 2.0ghz,4gb,256gb ssd,amd radeon r5 m430,windows 10,2.2kg,498.9
117,426,dell,inspiron 5570,notebook,15.6,full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,256gb ssd +  2tb hdd,amd radeon 530,windows 10,2.02kg,1142.4
118,968,dell,alienware 17,gaming,17.3,ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,32gb,256gb ssd +  1tb hdd,nvidia geforce 1070,windows 10,4.42kg,3149.0
119,698,toshiba,portege z30t-c-133,ultrabook,13.3,full hd / touchscreen 1920x1080,intel core i7 6500u 2.5ghz,16gb,512gb ssd,intel hd graphics 520,windows 10,1.36kg,1877.0
120,549,lenovo,thinkpad t570,notebook,15.6,ips panel full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,512gb ssd,intel hd graphics 620,windows 10,1.99kg,1729.0
121,429,mediacom,flexbook edge,2 in 1 convertible,11.6,ips panel full hd / touchscreen 1920x1080,intel celeron dual core n3350 1.1ghz,4gb,32gb ssd,intel hd graphics 500,windows 10,1.16kg,299.0
122,156,lenovo,yoga 520-14ikb,2 in 1 convertible,14.0,ips panel full hd / touchscreen 1920x1080,intel core i3 7100u 2.4ghz,4gb,256gb ssd,intel hd graphics 620,windows 10,1.74kg,629.0
123,1124,asus,vivobook max,notebook,15.6,1366x768,intel core i3 7100u 2.4ghz,4gb,1tb hdd,intel hd graphics 620,windows 10,2kg,435.0
124,933,lenovo,yoga 900-13isk,2 in 1 convertible,13.3,ips panel quad hd+ / touchscreen 3200x1800,intel core i7 6560u 2.2ghz,16gb,1tb ssd,intel iris graphics 540,windows 10,1.3kg,1799.0
125,439,asus,vivobook max,notebook,15.6,full hd 1920x1080,intel core i5 7200u 2.5ghz,4gb,256gb ssd,intel hd graphics 620,linux,2kg,559.0
126,438,lenovo,thinkpad t470s,ultrabook,14.0,2560x1440,intel core i7 7500u 2.7ghz,24gb,512gb ssd,intel hd graphics 620,windows 10,1.32kg,2382.0
127,1223,dell,latitude e7270,ultrabook,12.5,full hd / touchscreen 1920x1080,intel core i5 6300u 2.4ghz,8gb,256gb ssd,intel hd graphics 520,windows 7,1.26kg,1713.37
128,985,dell,inspiron 3567,notebook,15.6,1366x768,intel core i5 7200u 2.5ghz,4gb,500gb hdd,amd radeon r5 m430,windows 10,2.25kg,599.0
129,147,asus,x541na ,notebook,15.6,full hd 1920x1080,intel celeron dual core n3350 1.1ghz,4gb,1tb hdd,intel hd graphics 500,windows 10,2kg,344.0
130,328,hp,elitebook 820,ultrabook,12.5,full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows 10,1.26kg,1335.0
131,1133,hp,250 g6,ultrabook,15.6,full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows 10,1.84kg,752.0
132,540,dell,xps 13,ultrabook,13.3,quad hd+ / touchscreen 3200x1800,intel core i7 8550u 1.8ghz,8gb,256gb ssd,intel uhd graphics 620,windows 10,1.2kg,1399.0
133,264,dell,inspiron 3567,notebook,15.6,full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,1tb hdd,amd radeon r5 m430,windows 10,2.24kg,565.0
134,632,lenovo,v330-15ikb ,notebook,15.6,full hd 1920x1080,intel core i5 8250u 1.6ghz,4gb,256gb ssd,intel uhd graphics 620,windows 10,1.8kg,829.0
135,675,msi,gp62 7rdx,gaming,15.6,full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce 1050,windows 10,2.4kg,1294.0
136,829,acer,swift 3,notebook,14.0,ips panel full hd 1920x1080,intel core i3 7100u 2.4ghz,8gb,128gb ssd,intel hd graphics 620,windows 10,1.5kg,619.0
137,291,asus,fx753vd-gc071t ,gaming,17.3,full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,1tb hdd,nvidia geforce 1050,windows 10,3kg,1187.0
138,1273,hp,15-ac110nv ,notebook,15.6,1366x768,intel core i7 6500u 2.5ghz,6gb,1tb hdd,amd radeon r5 m330,windows 10,2.19kg,764.0
139,757,hp,zbook 15,workstation,15.6,full hd 1920x1080,intel core i7 6700hq 2.6ghz,8gb,256gb ssd,nvidia quadro m1000m,windows 7,2.59kg,1561.0
140,46,lenovo,ideapad 320-15isk,notebook,15.6,1366x768,intel core i3 6006u 2.0ghz,4gb,128gb ssd,intel hd graphics 520,no os,2.2kg,369.0
141,527,lenovo,ideapad 320-15isk,notebook,15.6,1366x768,intel core i3 6006u 2.0ghz,8gb,2tb hdd,nvidia geforce 920mx,no os,2.2kg,459.0
142,931,hp,elitebook 820,ultrabook,12.5,full hd 1920x1080,intel core i5 6200u 2.3ghz,4gb,500gb hdd,intel hd graphics 520,windows 10,1.26kg,1579.0
143,533,mediacom,smartbook edge,notebook,13.3,ips panel full hd 1920x1080,intel celeron quad core n3450 1.1ghz,4gb,32gb ssd,intel hd graphics 500,windows 10,1.2kg,369.0
144,428,hp,omen 17-w207nv,gaming,17.3,full hd 1920x1080,intel core i7 7700hq 2.8ghz,12gb,256gb ssd +  1tb hdd,nvidia geforce 1070,windows 10,3.35kg,1999.0
145,250,dell,inspiron 5579,2 in 1 convertible,15.6,ips panel full hd / touchscreen 1920x1080,intel core i7 8550u 1.8ghz,8gb,1tb hdd,intel uhd graphics 620,windows 10,2.08kg,819.0
146,98,asus,x541uv-dm1439t ,notebook,15.6,full hd 1920x1080,intel core i3 7100u 2.4ghz,6gb,256gb ssd,nvidia geforce 920m,windows 10,2kg,577.0
147,957,hp,probook x360,2 in 1 convertible,11.6,touchscreen 1366x768,intel pentium quad core n4200 1.1ghz,4gb,256gb ssd,intel hd graphics 505,windows 10,1.45kg,775.0
148,1174,lenovo,ideapad 510-15ikb,notebook,15.6,full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,1tb hdd,nvidia geforce 940mx,no os,2.2kg,709.0
149,1044,hp,elitebook 840,notebook,14.0,full hd 1920x1080,intel core i5 6200u 2.3ghz,4gb,500gb hdd,intel hd graphics 520,windows 10,1.54kg,1000.0
150,747,hp,250 g6,notebook,15.6,full hd 1920x1080,intel core i3 6006u 2.0ghz,8gb,256gb ssd,intel hd graphics 520,windows 10,1.86kg,539.0
